cuisine,continent,n_recipes,n_vegan_recipes,n_vegetarian_recipes,avg_n_steps,avg_minutes,avg_n_ingredients,median_calories,avg_calories,min_calories,max_calories,quartile_10_calories,quartile_25_calories,quartile_75_calories,quartile_90_calories,avg_total_fat_pdv,avg_sugar_pdv,avg_sodium_pdv,avg_protein_pdv,avg_saturated_fat_pdv,avg_carbohydrates_pdv,total_pdv
Mexican,North American,6694,448,847,10.2,95.3,10.1,335.6,434.5,0.0,19380.6,85.5,187.3,532.6,799.7,34.6,37.0,34.5,42.8,43.5,11.8,204.2
American,North American,31568,1246,4176,9.9,117.5,9.3,335.6,492.8,0.0,23343.1,102.0,190.0,541.0,864.1,38.1,86.7,35.2,37.9,48.8,15.6,262.4
Canadian,North American,4572,202,614,9.7,183.6,9.0,277.2,445.5,0.7,11510.6,79.2,151.0,476.4,786.9,32.4,90.6,25.7,32.7,42.7,15.2,239.4
German,European,1377,38,175,11.6,403.8,9.4,337.8,551.1,0.0,11510.6,106.4,191.9,568.3,960.5,42.1,93.9,32.3,35.9,56.4,18.2,278.8
Italian,European,7410,322,1393,11.7,121.9,10.2,394.7,498.6,0.0,19396.8,115.8,222.4,615.6,894.4,38.2,34.5,32.0,44.1,45.8,14.6,209.2
French,European,2268,94,482,12.3,305.2,9.2,344.2,471.7,0.0,9973.8,100.4,192.4,571.4,874.5,41.7,54.0,27.9,36.5,56.7,11.7,228.5
Australian,Oceanian,2845,112,547,8.5,55.3,8.5,303.9,473.6,0.6,9702.6,85.6,164.0,531.7,869.3,36.6,82.9,20.2,34.9,47.5,15.3,237.3
English,European,2249,82,627,10.7,360.6,8.6,326.1,521.4,0.7,43924.6,92.3,171.7,573.8,965.3,40.7,95.4,20.6,30.4,59.0,17.6,263.7
Russian,European,381,12,68,12.2,95.0,9.7,291.8,420.6,10.5,5060.1,95.7,159.6,498.9,748.4,30.9,61.4,27.4,29.7,40.4,14.0,203.9
Japanese,Asian,851,125,104,9.6,88.2,8.7,268.5,380.2,0.0,6551.1,49.6,121.6,460.9,753.0,26.6,45.4,62.7,33.8,22.1,12.3,202.8
Puerto Rican,North American,106,8,4,9.0,75.1,9.0,332.9,460.1,3.2,4248.1,93.0,173.9,561.2,812.9,28.5,62.8,62.6,37.4,38.3,16.1,245.7
Spanish,European,1072,100,156,10.2,104.7,9.7,313.3,425.9,2.8,4055.1,112.5,186.1,527.2,847.8,33.4,41.0,28.2,36.3,29.4,11.0,179.3
Irish,European,658,12,115,10.6,625.5,8.9,338.5,623.4,0.0,8233.1,109.6,192.8,653.3,1363.5,43.1,92.6,31.8,39.0,64.4,21.4,292.3
Polynesian,Oceanian,203,11,12,8.5,86.5,8.9,329.7,477.2,4.3,4055.1,115.8,197.2,570.8,990.6,32.8,103.4,32.5,38.3,41.9,15.6,264.5
Iraqi,Asian,98,9,16,10.9,101.5,9.5,344.6,404.2,23.1,1754.8,88.8,157.6,574.7,825.1,31.4,40.2,22.1,33.8,31.6,12.4,171.6
Pakistani,Asian,141,10,20,11.0,62.7,12.2,382.6,450.2,12.8,1691.4,125.9,218.5,524.5,898.4,38.3,32.0,19.1,44.1,40.0,11.2,184.8
Scottish,European,715,15,225,10.8,425.4,8.1,280.5,539.9,1.4,43924.6,86.7,139.6,543.6,866.4,42.2,108.6,16.7,26.0,68.8,19.1,281.5
South African,African,324,23,51,10.8,83.7,10.3,359.0,485.3,1.9,6833.1,88.3,185.4,564.1,862.8,36.2,95.5,31.4,30.9,48.0,16.9,259.0
Colombian,South American,73,5,6,11.6,107.6,9.3,331.6,469.0,30.7,7403.5,90.7,183.5,525.2,687.7,32.4,73.5,22.5,32.9,44.8,17.2,223.3
Welsh,European,203,2,91,12.0,1732.1,8.9,409.5,546.0,1.4,6189.0,103.4,218.9,621.8,1021.1,44.2,85.1,22.8,33.1,61.6,17.5,264.4
Czech,European,136,1,31,12.9,119.8,8.9,366.7,600.3,58.6,4170.7,133.6,214.9,745.5,1169.6,48.7,60.5,29.0,38.4,65.3,18.9,260.9
Filipino,Asian,206,12,6,10.6,295.0,9.6,335.2,416.5,4.2,2602.3,101.1,171.8,546.1,794.3,32.9,71.1,36.7,38.6,39.7,11.6,230.6
Cuban,North American,255,14,32,10.3,121.4,10.3,340.3,416.8,22.5,2493.9,122.5,199.6,524.8,774.5,29.0,51.1,31.6,42.2,30.2,11.3,195.4
Belgian,European,165,4,27,12.5,70.6,9.2,423.8,523.2,0.5,3111.0,108.6,225.7,702.0,1028.4,44.9,52.4,20.3,44.1,58.8,13.1,233.6
Costa Rican,North American,48,6,8,8.2,73.7,8.4,222.2,328.6,19.9,2045.2,67.3,122.4,379.0,665.3,26.4,35.4,14.9,22.9,22.4,10.3,132.3
Guatemalan,North American,34,6,3,8.2,69.7,8.4,222.1,390.0,9.3,3314.2,50.7,108.5,389.5,736.6,35.1,43.4,8.3,26.8,55.8,10.4,179.7
Finnish,European,171,12,84,10.5,107.8,8.4,314.9,574.0,15.7,5234.9,118.2,180.0,554.4,1345.0,39.4,72.2,36.2,33.5,68.6,21.6,271.5
Moroccan,African,897,128,152,10.7,223.1,11.9,322.6,419.4,1.6,6143.1,89.2,182.6,555.6,821.1,31.4,47.5,24.4,40.7,27.6,12.6,184.3
Iranian Persian,Asian,252,25,54,11.3,107.4,9.3,352.6,440.8,0.4,3345.0,79.6,181.9,546.9,879.0,30.4,78.1,17.7,33.6,29.9,16.2,206.0
Turkish,Asian,286,46,62,10.0,76.2,9.3,270.1,363.1,2.8,3972.9,72.6,154.2,428.0,746.2,27.2,67.8,16.0,24.7,26.4,12.8,174.8
Portuguese,European,358,21,24,10.4,184.2,9.7,371.1,530.9,2.2,6367.1,147.9,219.3,621.6,1028.4,36.4,48.4,38.0,48.7,38.5,16.6,226.7
Hungarian,European,317,13,49,12.6,155.2,10.0,369.4,552.5,11.9,15368.5,113.0,223.4,589.7,888.4,45.3,56.7,40.9,47.5,57.6,15.7,263.8
Georgian,Asian,17,2,4,11.1,48.9,10.6,225.8,358.6,60.6,1032.2,94.0,183.8,438.6,743.0,32.4,27.5,19.4,29.9,39.2,9.1,157.6
Brazilian,South American,247,16,29,9.4,80.6,8.7,322.3,437.5,13.3,3214.3,80.9,180.3,540.0,837.2,35.1,71.1,19.9,34.9,39.8,12.1,212.7
Nigerian,African,38,4,6,11.5,61.6,9.4,382.4,700.6,3.8,6485.6,78.4,235.2,698.7,1014.9,81.6,50.2,22.3,43.7,61.6,11.5,270.9
Ethiopian,African,88,20,17,9.8,59.9,11.0,286.9,590.8,7.8,6618.9,53.8,156.1,551.6,928.9,63.5,39.7,54.6,35.1,103.0,13.1,309.1
Ecuadorean,South American,37,2,5,10.2,51.4,10.1,367.3,418.7,69.6,1786.2,125.9,251.2,512.5,725.2,31.2,57.0,28.3,40.8,35.7,12.6,205.5
Peruvian,South American,121,11,16,11.8,108.8,11.1,379.9,462.7,9.8,3333.6,112.3,223.1,588.4,818.6,33.8,40.1,20.7,40.7,29.7,14.7,179.8
Egyptian,African,200,30,38,10.6,143.5,9.3,288.5,409.8,0.7,4017.4,113.5,194.0,509.2,804.6,31.9,49.8,20.3,28.9,29.4,13.8,174.0
Argentine,South American,124,3,14,11.0,71.8,10.3,399.8,533.7,0.3,3034.9,126.4,233.8,615.4,1037.2,51.9,34.1,26.8,43.8,45.6,10.9,213.1
Chilean,South American,76,12,9,10.8,62.3,9.9,306.2,374.3,3.0,2388.8,69.0,153.3,513.2,682.4,29.6,52.6,16.8,30.4,29.5,11.4,170.3
Malaysian,Asian,119,11,12,10.0,65.3,11.5,361.9,417.9,1.2,1551.9,76.0,213.6,582.5,764.6,31.4,53.9,23.0,40.5,40.4,12.6,201.8
Nepalese,Asian,53,11,7,12.6,59.9,13.2,476.6,750.4,62.4,5658.5,182.8,274.8,913.9,1136.8,79.0,48.5,21.8,61.9,71.3,13.7,296.2
Vietnamese,Asian,351,29,18,11.1,110.7,11.7,304.3,403.1,3.0,2752.4,75.7,163.7,532.4,821.1,28.6,57.0,58.9,41.9,27.8,12.1,226.4
Palestinian,Asian,92,13,19,10.8,137.9,8.9,273.7,335.4,18.2,1314.7,83.7,144.5,457.0,649.7,26.5,36.0,17.2,27.6,24.4,10.3,141.8
Norwegian,European,199,5,75,10.0,145.5,8.0,298.3,496.5,24.2,4869.9,83.6,153.6,464.2,914.7,41.5,79.6,26.6,28.2,60.0,16.2,252.1
Austrian,European,170,6,28,12.7,85.6,9.4,308.6,607.7,2.2,15368.5,72.2,188.4,583.1,1016.0,46.1,121.3,21.5,34.3,59.9,22.1,305.3
Libyan,African,40,6,9,8.7,297.2,8.6,290.1,349.7,11.1,1234.5,77.0,152.4,436.5,756.3,24.2,60.1,18.8,31.0,17.8,12.2,164.1
Angolan,African,13,2,3,8.8,50.6,8.8,235.4,362.8,88.7,829.9,97.5,167.7,599.8,755.7,28.1,58.5,18.8,32.7,32.3,10.8,181.2
Korean,Asian,253,23,32,9.5,321.0,9.9,309.7,449.7,2.6,2865.7,70.6,144.2,531.4,1074.8,42.5,37.7,65.8,42.7,45.5,8.8,243.0
Cambodian,Asian,46,4,1,9.4,35.7,11.0,331.5,499.5,62.4,3796.9,104.9,224.8,564.8,871.6,36.9,127.8,59.4,45.6,50.5,15.8,336.1
Mongolian,Asian,13,2,1,13.8,41.2,14.1,468.6,466.4,147.5,766.1,303.3,344.7,623.6,723.3,28.5,38.2,57.0,65.2,29.2,13.2,231.2
